RadarCode,Latitude,Longitude
KABR,45.45583333333334,-98.41305555555556
KENX,42.58638888888889,-74.06388888888888
KABX,35.14972222222222,11.323888888888888
KFDR,34.36222222222222,-98.97638888888889
KAMA,35.233333333333334,10.298055555555555
PAHG,60.725833333333334,15.229166666666666
KFFC,33.36361111111111,-84.56583333333333
KEWX,29.703888888888887,-98.02833333333334
KBBX,39.49611111111111,12.426111111111112
PABC,60.79194444444444,16.315277777777776
KBLX,45.85388888888889,11.556666666666667
KBGM,42.19972222222222,-75.98472222222222
KBMX,33.17222222222222,-86.76972222222223
KBIS,46.770833333333336,10.216111111111111
KCBX,43.49055555555556,12.129999999999999
KBOX,41.95583333333334,-71.13694444444445
KBRO,25.91611111111111,-97.41888888888889
KBUF,42.94888888888889,-78.73666666666666
KCXX,44.51111111111111,-73.16694444444445
KFDX,34.63527777777778,10.757777777777779
KICX,37.590833333333336,11.456666666666665
KCLX,32.65555555555555,-81.04222222222222
KRLX,38.31111111111111,-81.72305555555556
KCYS,41.151944444444446,10.961666666666666
KLOT,41.60472222222222,-88.08472222222221
KILN,39.42027777777778,-83.82166666666666
KCLE,41.41305555555555,-81.85972222222222
KCAE,33.948611111111106,-81.11833333333333
KGWX,33.89666666666667,-88.32888888888888
KCRP,27.784166666666668,-97.5111111111111
KFWS,32.573055555555555,-97.30305555555556
KDVN,41.611666666666665,-90.58083333333333
KFTG,39.78666666666666,10.784722222222223
KDMX,41.73111111111111,-93.72277777777778
KDTX,42.69972222222222,-83.47166666666666
KDDC,37.76083333333333,-99.96888888888888
KDOX,38.82555555555556,-75.43972222222223
KDLH,46.83694444444445,-92.20972222222223
KDYX,32.538333333333334,-99.25444444444445
KEYX,35.09777777777778,12.310833333333333
KEVX,30.564444444444444,-85.9213888888889
KEPZ,31.873055555555556,11.109166666666667
KLRX,40.73972222222222,12.291666666666666
KBHX,40.498333333333335,12.88638888888889
PAPD,65.035,15.218333333333334
KFSX,34.574444444444445,11.225555555555555
KHPX,36.736666666666665,-87.285
KGRK,30.721944444444443,-97.38305555555554
KPOE,31.155555555555555,-92.97583333333334
KEOX,31.460555555555555,-85.45944444444444
KSRX,35.29055555555556,-94.36166666666666
KIWX,41.35888888888889,-85.7
KAPX,44.907222222222224,-84.71972222222223
KGGW,48.20638888888889,11.252777777777778
KGLD,39.36694444444444,10.289166666666667
KMVX,47.52777777777778,-97.32555555555555
KGJX,39.06222222222222,11.419444444444444
KGRR,42.89388888888889,-85.54472222222222
KTFX,47.459722222222226,11.285277777777777
KGRB,44.498333333333335,-88.11138888888888
KGSP,34.88333333333333,-82.22
KRMX,43.467777777777776,-75.45777777777778
KUEX,40.32083333333334,-98.44194444444445
KHDX,33.07638888888889,11.200555555555555
KCBW,46.03916666666667,-67.80638888888889
KHGX,29.471944444444443,-95.07916666666667
KHTX,34.93055555555555,-86.08333333333333
KIND,39.7075,-86.28027777777778
KJKL,37.590833333333336,-83.31305555555555
KJAN,32.31777777777778,-90.08
KJAX,30.484722222222224,-81.70194444444445
PHKN,20.125555555555557,16.07777777777778
KEAX,38.81027777777778,-94.26444444444445
KBYX,24.5975,-81.70305555555557
PAKC,58.67944444444444,16.25722222222222
KMRX,36.16861111111111,-83.40166666666667
KARX,43.82277777777778,-91.19111111111111
LPLA,38.73027777777778,-27.321666666666665
KLCH,30.12527777777778,-93.21583333333334
KESX,35.70111111111111,11.841388888888888
KDFX,29.272777777777776,10.197222222222223
KILX,40.150555555555556,-89.33694444444444
KLZK,34.83638888888889,-92.26222222222222
KVTX,34.41166666666666,12.529444444444444
KLVX,37.97527777777778,-85.94388888888889
KLBB,33.65416666666667,10.469722222222222
KMQT,46.53111111111111,-87.54833333333333
KMXX,32.53666666666666,-85.78972222222222
KMAX,42.08111111111111,12.48388888888889
KMLB,28.113333333333333,-80.65416666666667
KNQA,35.344722222222224,-89.87333333333332
KAMX,25.611111111111114,-80.41277777777778
PAIH,59.46138888888889,15.241944444444444
KMAF,31.943333333333335,10.383611111111112
KMKX,42.967777777777776,-88.55055555555555
KMPX,44.848888888888894,-93.56555555555555
KMBX,48.3925,10.126111111111111
KMSX,47.04111111111111,11.836111111111112
KMOB,30.679444444444446,-88.23972222222223
PHMO,21.13277777777778,16.196666666666665
KVAX,30.390277777777776,-83.00166666666667
KMHX,34.77611111111111,-76.8761111111111
KOHX,36.24722222222222,-86.5625
KLIX,30.336666666666666,-89.82555555555555
KOKX,40.86555555555556,-72.86388888888888
PAEC,64.51138888888889,17.05611111111111
KAKQ,36.98388888888889,-77.00722222222223
KLNX,41.95777777777778,10.170833333333334
KTLX,35.33305555555556,-97.27777777777777
KOAX,41.32027777777778,-96.36666666666666
KPAH,37.068333333333335,-88.77194444444444
KPDT,45.690555555555555,12.447222222222221
KDIX,39.94694444444444,-74.41083333333334
KIWA,33.28916666666667,11.236666666666666
KPBZ,40.531666666666666,-80.21805555555555
KSFX,43.10583333333334,11.430555555555555
KGYX,43.89138888888889,-70.25638888888889
KRTX,45.71472222222223,12.626388888888888
KPUX,38.45944444444445,10.698055555555555
KRAX,35.66555555555556,-78.48972222222223
KUDX,44.125,10.663055555555555
KRGX,39.75416666666667,12.74
KRIW,43.066111111111105,11.599444444444446
KFCX,37.02444444444444,-80.27388888888889
KJGX,32.67527777777777,-83.35111111111111
KDAX,38.50111111111111,12.244444444444444
KLSX,38.69888888888889,-90.68277777777779
KMTX,41.26277777777778,11.547777777777778
KSJT,31.37138888888889,10.2925
KNKX,32.91888888888889,12.230833333333333
KMUX,37.155277777777776,12.348333333333333
KHNX,36.314166666666665,12.760000000000002
TJUA,18.115555555555556,-66.07805555555555
KSOX,33.81777777777778,12.44138888888889
KATX,48.19444444444444,12.629166666666666
KSHV,32.450833333333335,-93.84138888888889
KFSD,43.58777777777778,-96.72944444444444
PACG,56.85277777777778,13.92361111111111
PHKI,21.894166666666667,16.635555555555555
PHWA,19.095,15.996666666666666
KOTX,47.680277777777775,12.421111111111111
KSGF,37.23527777777778,-93.40055555555556
KCCX,40.92305555555555,-78.00361111111111
KLWX,38.97527777777778,-77.47777777777777
KTLH,30.3975,-84.32888888888888
KTBW,27.705555555555556,-82.40166666666667
KTWX,38.996944444444445,-96.2325
KEMX,31.89361111111111,11.258055555555556
KINX,36.175,-95.56472222222222
KVNX,36.740833333333335,-98.12777777777777
KVBX,34.838055555555556,12.130277777777778
KICT,37.65472222222222,-97.44277777777778
KLTX,33.989444444444445,-78.42888888888889
KYUX,32.49527777777778,11.973333333333333
